Echantillon;Répétition;Echantillon_Repétition;TMG;Ecart-type TMG;T10;T20;T30;T40;T50;T60;T70;T80;T90
B081;2;B081_2;147,84;35,6810874273753;114,75;118,5;123,75;133;136,5;145,5;149,25;154,5;228,75
B082;1;B082_1;179;32,668293363816;144,75;150;163,5;168;170,5;190,5;197,25;201;232,5
B082;2;B082_2;165;21,4941852602047;133,5;136,5;143,25;166,5;171,3;172,8;174,5;177;184,5
B083;1;B083_1;165,125;27,9818458228219;133,5;139,5;144,75;150;162,5;165;183,75;189;220,5
B083;2;B083_2;136,625;32,8988072996443;103,5;111;117,75;123;126,75;130,5;151,5;162;196,5
B084;1;B084_1;165,24;24,2320036315613;130,5;142,5;146,25;156;163,5;172;174,75;178,5;202,5
B084;2;B084_2;144,375;31,0676855745085;114,75;118,5;126,375;128,25;135,75;141;159,5;162;217,5
B085;1;B085_1;157,68;24,6335137566689;125,25;135;141,75;145,5;151,5;156;168,75;180;187,5
B085;2;B085_2;131,5;20,436540164936;109,5;117;118,5;120;126,75;130,5;134,25;144;167,25
B086;1;B086_1;156;26,6786431439082;126,75;130,5;133,5;141;148,5;159;172,5;181,5;190,5
B086;2;B086_2;165,36;20,8084117606318;144,75;150;154,125;156;161,25;164;169,125;171;190,5
B087;1;B087_1;162,913043478261;20,4559683299571;137,25;142,5;148,5;159;162,75;169,5;173,25;180;217,5
B087;2;B087_2;168,96;29,3775424431656;131,25;135;151,5;156;158,5;178,5;187,5;195;210,75
B088;1;B088_1;169,875;40,1792857079366;132,75;136,5;141,75;147;157,5;165;172,5;231;244,5
B088;2;B088_2;140,375;18,0429740631493;119,25;126;129,9;131,4;134,25;141,75;143,625;153;177,75
B089;1;B089_1;156,5;20,244161799307;133,5;137;140,25;149;157,5;163,5;167,25;171;184,5
B089;2;B089_2;162,260869565217;20,061762342835;136,875;142,5;146,25;153;161,5;168;173,25;183;205,5
B090;1;B090_1;168,136363636364;31,890132007888;133,5;144;146,5;153;163,5;174;190,5;219;219,75
B090;2;B090_2;139,375;32,7318652080813;109,125;111;121,5;126;132,75;136;142,5;160,5;219,75
B091;1;B091_1;170,4;23,1732604525129;140,25;153;155,5;158;163,5;171;184,5;189;197,25
B091;2;B091_2;161,64;19,9809909664161;138,75;142,5;147,75;153;159,5;162;169,5;175,5;179,25
B092;1;B092_1;198,285714285714;17,6610952580605;176,25;187,5;190,125;192;200,25;205,5;214,5;234;NaN
B092;2;B092_2;190,4;21,2265970200745;162,75;177;184,5;187,5;195,75;204;220,5;231;NaN
B092;3;B092_3;190,833333333333;22,6955554083639;166,5;176;179,25;186;197,25;213;238,5;NaN;NaN
B092;4;B092_4;190,052631578947;19,1325019686121;174,75;178,5;185,25;191;198,75;204;209,25;NaN;NaN
B093;1;B093_1;159,12;27,1589764166472;122,25;132;137,25;147;154,5;159;181,5;187,5;193,5
B093;2;B093_2;137,347826086957;22,9001959016078;112,5;117;124,5;130,5;135,75;141;144,5;147;202,5
B094;1;B094_1;153,875;25,8142402561067;124,5;130,5;136,5;147;152,25;157;159,75;165;211,5
B094;2;B094_2;152,4;31,6543835826888;120,75;124,5;129,75;132,75;134,625;138;172,5;191;198,75
B095;1;B095_1;162,428571428571;19,2160647078725;136,5;151;153,75;160;163,5;171;177,75;186;NaN
B095;2;B095_2;133,227272727273;20,4867711513501;112,5;118,5;123,75;129;131,5;135;141,75;148,5;NaN
B096;1;B096_1;172,2;27,9955353583388;130,5;153;158,25;161;168,375;170,25;181,5;192;218,25
B096;2;B096_2;168,12;19,7954540235884;145,5;150;152,5;156;162,75;168;175,5;181,5;197,25
B097;1;B097_1;145,25;16,2621192265685;128,25;132;135,75;139;141,75;145,5;149,25;153;178,5
B097;2;B097_2;133,56;15,6872559741976;110,25;117;125,25;129,75;131,625;134;138,75;144;151,5
B098;1;B098_1;158,833333333333;18,0725661448181;138,5;141;151,5;159;169,5;171;190,5;NaN;190,5
B098;2;B098_2;141,72;28,4641880263604;108,75;114;126,75;130;132,75;136,5;145,5;162;190,5
B099;1;B099_1;158,125;18,2478408490477;136,5;141;146,25;149;154,5;160,5;169,125;171;187,5
B099;2;B099_2;130,571428571429;17,5857084832298;112,125;114;117,75;121,5;133,5;138;146,5;156;187,5
B100;1;B100_1;153,125;22,2658102109002;130,5;134;136,5;141;145,875;148,5;163,5;171;193,5
B100;2;B100_2;143,285714285714;25,8053150671385;121,5;126;130,5;133,2;134,7;144;163,5;183;193,5
B101;1;B101_1;158,375;24,9587703501455;124,5;139;142,5;147;148,875;159;178,5;183;196,5
B101;2;B101_2;160,44;17,6022725805505;141,375;143,25;150,75;156;157,25;158,5;161,25;165;189,75
B102;1;B102_1;165,625;28,5836871993982;136,5;142;145,5;153;157,5;167;174,5;177;226,5
B102;2;B102_2;147,136363636364;24,9881790234721;126,3;127,8;135,375;137,25;145,5;149;163,5;183;226,5
B103;1;B103_1;163,2;34,5651558654087;125,25;135;141,75;147;156,75;163;166,5;174;223,5
B103;2;B103_2;161,76;18,0191564730429;138,75;145,5;149,25;154;157,5;165;171,75;175;184,5
B104;1;B104_1;162,24;28,2611040124055;133,5;141;144,75;147,75;149,625;153;169,5;183;198,75
B104;2;B104_2;147,24;16,4981817179955;124,5;129;134,25;139,5;144,75;148,5;155,25;161;170,25
B105;1;B105_1;173,28;40,7886013489063;123,75;133;139,5;156;171,75;177;187,5;204;241,5
B105;2;B105_2;169,44;21,583326898326;142,5;147;156,5;159;164,5;168;182,25;186;199,5
B106;1;B106_1;166,173913043478;26,7371926416318;136,5;142,5;147,75;153;162,5;165;190,5;202;226,5
B106;2;B106_2;132;26,9927526505204;106,5;117;118,875;123;126,375;128,25;131,25;144;163,5
T001;1;T001_1;159,6;15,8034806292791;136,5;144;148,5;153;157,5;160,5;164,25;174;178,5
T001;2;T001_2;158,52;23,0056514795821;135,75;141;145,5;149;154,5;159;161,5;168;184,5
T002;1;T002_1;147,72;26,071248531668;124,5;128;131,25;136,5;140,25;144;148,5;156;173,25
T002;2;T002_2;126,272727272727;13,9153283696923;114,25;115,5;116,75;120;124,125;126;130,5;141;173,25
T003;1;T003_1;137,28;19,1757659560185;111,75;121;127,5;132;137,25;139,5;145,5;150;160,5
T003;2;T003_2;116,64;14,882540105775;97,5;103,5;106,5;112;114,375;116,25;120,75;124;127,5
T004;1;T004_1;159,260869565217;24,5712644276423;129,75;136,5;145,5;154;156,75;162;174,75;186;214,5
T004;2;T004_2;131,64;19,5637419733547;109,5;112,5;118,5;124,5;132,375;134,25;137,25;140;145,5
T005;1;T005_1;201,125;25,6407878194099;175,5;189;200,25;207;226,5;234;NaN;NaN;NaN
T005;2;T005_2;192,571428571429;22,7410893067404;168,5;171;178,5;187,5;199,5;205,5;217,5;228;NaN
T006;1;T006_1;188,631578947368;20,6053135712229;160,5;177;179,5;186;196,5;211,5;217,5;NaN;NaN
T006;2;T006_2;193,052631578947;27,4418044519478;160,5;171;178,5;189;208,5;213;240,75;NaN;NaN
T007;1;T007_1;174;19,9913024566446;142,5;160,5;164,25;169,5;175,5;181,5;189,5;192;199,5
T007;2;T007_2;164,96;25,8754710102058;141,75;145,5;148,125;150;154,5;165;174,75;178,5;199,5
T008;1;T008_1;189,909090909091;25,2961677709511;160,125;162;172,5;183;190,5;201;219,75;225;220,5
T008;2;T008_2;183,304347826087;20,242697409658;160,5;165;168,75;175,5;181,5;189;199,875;204;220,5
