Echantillon;Répétition;Echantillon_Repétition;TMG;Ecart-type TMG;T10;T20;T30;T40;T50;T60;T70;T80;T90
A057;2;A057_2;151,5;42,7479976647775;108,75;117;124,5;130;133,5;141;154,5;207;233,25
A058;1;A058_1;157,68;19,7119253245338;140,25;144;147,3;148,8;150,375;152,25;157,5;162;186,75
A058;2;A058_2;128,4;17,599715906798;103,5;113;117,375;119,25;124,5;129;135,75;147;150,75
A059;1;A059_1;152,454545454545;29,5630517026579;121,5;125;133,5;137;148,5;165;181,5;198;172,5
A059;2;A059_2;134,64;25,9275914808916;106,5;110;115,5;120;127,5;133,5;147,75;153;172,5
A060;1;A060_1;148,8;19,4615004560286;125,25;130,5;135,75;141;147,3;148,8;151,5;156;184,5
A060;2;A060_2;134,16;29,8938120687208;107,25;111;116,25;120;122,5;126;134,25;141;178,5
A061;1;A061_1;155;22,4441335416358;129,75;133,5;137,25;144;146,5;165;169,5;174;182,25
A061;2;A061_2;133,304347826087;18,7748254624709;118,5;121;122,25;126;128,5;135;141,375;143,25;196,5
A062;1;A062_1;160,695652173913;26,1350248840842;130,5;141;147,75;153;159,5;162;169,5;177;247,5
A062;2;A062_2;154,08;24,8124968513852;127,5;136,5;142,5;145,2;146,7;149;155,25;165;184,5
A063;1;A063_1;167,125;27,9818458228219;136,5;144;146,5;154;160,5;168;173,25;186;214,5
A063;2;A063_2;165,48;30,3934203405934;135,5;138;145,5;150;162,75;168;179,25;192;203,25
A064;1;A064_1;179,181818181818;26,6594687255255;148,5;153;163,5;172;175,5;186;197,25;216;220,5
A064;2;A064_2;144,25;30,541845848378;112,5;123;127,5;133;135,75;142,5;145,5;156;220,5
A065;1;A065_1;173,590909090909;30,3168334363995;136,5;147;157,5;163,5;170,25;180;199,5;219;NaN
A065;2;A065_2;149,714285714286;28,4905999535687;123,75;133;135,75;139,5;144,375;146,25;181,5;204;NaN
A066;1;A066_1;157;26,3719218273823;122,25;130,5;144,75;150;160,5;163,5;167,25;174;184,5
A066;2;A066_2;169;28,4008573048803;127,5;145,5;150,75;156;168,75;172,5;183,75;201;214,5
A067;1;A067_1;156,391304347826;24,005187186475;130,5;135;137,5;151,5;158,25;162;163,875;168;238,5
A067;2;A067_2;140,4;26,944387170615;109,5;118;121,5;126;130,5;138;149,25;162;184,5
A068;1;A068_1;177,260869565217;32,4488652152111;147,5;150;154,5;159;167,5;177;211,5;222;241,5
A068;2;A068_2;142,304347826087;23,8087737506551;114,75;123;130,5;133;139,5;144;156,75;169,5;199,5
A069;1;A069_1;162,72;25,8835855321476;135,75;141;143,5;150;154,5;162;171,75;177;187,5
A069;2;A069_2;160,75;28,7466444166513;128,25;141;144,5;147;154,5;159;169,5;178,5;231,75
A070;1;A070_1;161,04;19,6479006512146;137,25;140;143,25;156;158,5;161;168,75;174;191,25
A070;2;A070_2;159,45;38,0380349816228;121,5;127,5;136,5;141;154,5;198;216,5;219;191,25
A071;1;A071_1;158,52;21,558293067866;134,25;138;142,5;148,5;153,75;159;166,5;171;184,5
A071;2;A071_2;144,25;24,0962742925667;121,5;125;130,5;133,5;136,5;141;153,75;162;190,5
A072;1;A072_1;153;26,1220909646153;126,75;136;138,5;141;144,75;153;172,5;183;214,5
A072;2;A072_2;128,04;16,1024842803836;108,75;114;117,75;121,5;124,5;130;132,5;135;148,5
A073;1;A073_1;170,625;25,4452737560777;144,75;148,5;154,5;159;163,5;169,5;176,25;186;226,5
A073;2;A073_2;128,64;19,2351241222925;102,5;105;114,75;118,5;126,75;133;136,5;147;151,5
A074;1;A074_1;180,24;35,7482866722309;135,75;156;164,25;166,2;167,7;180;193,5;207;232,5
A074;2;A074_2;171,818181818182;30,1024225629075;137,25;148,5;154,5;160,5;163,5;177;196,5;219;232,5
A075;1;A075_1;171,5;24,4629266975294;141,5;144;151,5;168;175,5;178;184,5;195;208,5
A075;2;A075_2;162,409090909091;23,2985981407611;130,5;141;151,5;159;166,5;171;184,5;190,5;208,5
A076;1;A076_1;152,4;21,8641740128265;133,125;135;145,5;150;152,5;155;169,5;219;217,5
A076;2;A076_2;155,478260869565;30,5225245667663;125,25;129;136,5;142;145,5;156;166,5;204;217,5
A077;1;A077_1;174,130434782609;35,4789365780806;133,5;138;150,75;154,5;173,25;180;199,5;216;242,25
A077;2;A077_2;179,318181818182;31,612815911749;142,5;150;155,25;169,5;187,5;202;207,75;222;242,25
A078;1;A078_1;162,136363636364;36,5959865800368;125,25;132;139,5;147;160,5;164;184,5;234;220,5
A078;2;A078_2;156,5;29,0681358490552;124,5;138;140,5;143;145,5;153;167,25;171;220,5
A079;1;A079_1;165,875;27,6724828005697;139,5;145,5;150,5;153;154,875;165;169,5;186;232,5
A079;2;A079_2;164,4;29,0602821734408;138,375;140,25;142,5;145,5;149,25;165;176,25;186;205,5
A080;1;A080_1;172,857142857143;31,3133928444136;142,5;151,5;154,5;159;163,5;180;205,5;228;211,5
A080;2;A080_2;164,52;24,5817005107458;136,5;143;150,5;153;160,5;164;170,25;176;211,5
A081;1;A081_1;154,090909090909;31,0466762133421;124,5;135;136,875;141;147,75;163,5;167,25;201;NaN
A081;2;A081_2;149,454545454545;28,4098025884884;116,25;120;128,25;136,5;151,5;156;178,5;192;NaN
A082;1;A082_1;162,409090909091;29,3836026364383;132,75;138;148,5;153;160,5;168;187,5;198;NaN
A082;2;A082_2;145,95;23,9263673095516;120,75;126;135,5;138;148,5;159;172,5;195;NaN
A083;1;A083_1;159,12;25,5364445450027;134,25;138;140,5;147;150,75;156;162,75;169;211,5
A083;2;A083_2;147,136363636364;39,8476807648533;110,5;117;119,5;124,5;131,25;142,5;196,5;207;211,5
A084;1;A084_1;174,45;26,392732253207;139,5;154,5;160,5;168;177,75;198;204,75;228;170,25
A084;2;A084_2;136,08;25,2172559966385;100,5;114;116,5;126;132,5;135;147,75;154,5;170,25
A085;1;A085_1;187,526315789474;17,5003759358117;171,5;174;179,25;187;189,75;201;208,5;NaN;220,5
A085;2;A085_2;187,142857142857;19,3991899683614;157,5;171;182,25;184,5;190,5;201;207,75;214,5;220,5
A085;3;A085_3;173,521739130435;18,3745613805842;151,5;156;161,25;168;179,25;182;185,25;190;220,5
A085;4;A085_4;194,428571428571;26,2784539662656;157,5;177;187,5;192;202,5;206;218,25;237;220,5
A086;1;A086_1;167,590909090909;33,7041174408637;133,5;142,5;147,75;153;160,5;169,5;205,5;219;217,5
A086;2;A086_2;158,76;39,723292914863;117,75;124,5;127,5;130,5;142,5;153;178,5;204;217,5
A087;1;A087_1;153,875;27,6158626438722;124,5;135;138,5;141;148,5;160,5;166,5;177;188,5
A087;2;A087_2;141,96;28,8494367362692;114,5;117;120,75;126;128,5;135;151,5;160,5;187,5
A088;1;A088_1;167,125;27,5307140734;133,5;141;153,75;159,75;161,625;168;181,5;192;214,5
A088;2;A088_2;170,210526315789;26,997075865048;145,5;151,5;162,75;168;173,25;193,5;205,5;NaN;214,5
A089;1;A089_1;159,24;20,7651149768067;133,5;138;142,5;147;157,5;160;163,5;180;192,5
A089;2;A089_2;159,96;16,0324670590649;137,5;144;150,75;154;156,5;159;162,75;169,5;186,75
A090;1;A090_1;161,5;23,9455904990423;140,5;143;146,25;149;151,5;156;164,25;171;205,5
A090;2;A090_2;141,375;26,455561591666;119,25;126;127,875;129,75;131,625;139,5;142,5;145,5;184,5
A091;1;A091_1;157,909090909091;23,025677366406;133,5;145;150,75;154;157,5;165;169,5;180;148,5
A091;2;A091_2;128,16;13,9244389474046;114,375;116,25;118,125;120;122,5;126;132,75;141;148,5
A092;1;A092_1;175,25;34,5004725865553;136,5;142,5;146,25;151,5;177,75;183;195,75;210;233,25
A092;2;A092_2;133,125;24,2403050992422;112,5;117;120,5;123;127,5;132;136,125;138;163,5
A093;1;A093_1;165,25;28,9365873412281;131,25;142,5;146,25;153;159,75;165;175,5;198;211,5
A093;2;A093_2;141,72;27,0038886088652;117,75;123;124,875;130,5;133,5;136;141,75;150;190,5
A094;1;A094_1;193,695652173913;32,1692043344234;148,5;166;172,5;186;193,5;208,5;226,5;230;239,25
A094;2;A094_2;167,823529411765;41,3313369220584;129,75;135;139,5;153;202,5;219;NaN;NaN;239,25
A095;1;A095_1;140,318181818182;16,3776455184276;122,25;126;129,5;132;136,875;141;156,75;165;160,5
A095;2;A095_2;125,125;20,9623108998237;104,25;108;112,5;117;121,125;123;125,5;132;160,5
A096;1;A096_1;167,739130434783;19,9595440631665;150,375;152,25;155,25;161;168,3;169,8;171,75;180;232,5
A096;2;A096_2;131,347826086957;13,8354245446974;117,375;119,25;122,25;126;129,3;130,8;135,75;144;161,25
A097;1;A097_1;151,772727272727;29,2720113649652;126,75;130,5;133,5;139;145,5;153;166,5;195;202,5
A097;2;A097_2;161,375;26,1231406661004;127,5;132;145,5;153;161,25;168;174,75;183;202,5
A098;1;A098_1;156,125;20,6235671439043;132,75;136;145,5;150;158,25;161;166,5;177;187,5
A098;2;A098_2;139,75;35,857507854914;111,75;117;121,5;124;126,75;130,5;133,5;147;226,5
A099;1;A099_1;179,16;34,7115254634538;142,5;147;159,375;161,25;166,5;172,5;190,5;210;235,5
A099;2;A099_2;163,92;23,1389282379284;135,75;144;147,75;156;160,5;168;176,25;184,5;190,5
A100;1;A100_1;172,44;25,5898417345634;131,25;150;155,25;162;171,75;180;184,5;192;208,5
A100;2;A100_2;168,12;33,1980421109438;127,5;132;140,25;151,5;157,5;180;187,5;202,5;210,75
A101;1;A101_1;173,4;25,0399680510978;144,5;147;151,5;159;168,75;175,5;187,5;198;205,5
A101;2;A101_2;159,130434782609;23,5609545026321;135,75;139,5;145,125;147;162,5;165;167,5;170;238,5
A102;1;A102_1;164,608695652174;28,3496659118278;130,5;141;151,5;156;160,5;171;176,25;192;220,5
A102;2;A102_2;133,090909090909;26,6331499324559;108,75;117;119,5;123;126,75;132;137,5;150;220,5
A103;1;A103_1;165,6;30,7042342356881;133,5;139,5;143,25;153;157,125;159;169,5;177;220,5
A103;2;A103_2;134,347826086957;28,2868564011501;106,5;114;120,5;123;127,5;133,5;136,5;153;212,25
A104;1;A104_1;193,727272727273;22,7892660994304;163,5;180;181,5;183;187,5;201;222,5;225;NaN
A104;2;A104_2;189;15,3068612066615;174,375;176,25;180,75;186;189,75;198;204,75;217,5;NaN
A104;3;A104_3;194,6;15,3773586124125;178,5;183;185,5;189;199,5;204;216,75;222;NaN
A104;4;A104_4;194,285714285714;21,3169952318399;174,75;178,5;181,5;186;193,5;201;220,5;231;NaN
A105;1;A105_1;169,090909090909;30,4613870973747;133,5;144;160,5;166,5;171,375;173,25;178,5;201;212,25
A105;2;A105_2;166;28,6614420584444;135,75;141;148,125;150;156,75;162;173,25;201;212,25
A106;1;A106_1;188,25;39,5850762392794;142,5;154,5;159,75;163;172,5;195;232,5;239;247,5
A106;2;A106_2;166;15,8416072965823;147,375;149,25;153,75;159;163,5;166,2;167,7;186;190,5
A107;1;A107_1;168,571428571429;25,7828846884351;142,5;150;157,5;164;166,125;168;184,5;222;NaN
A107;2;A107_2;134,166666666667;21,7018567923414;118,5;121,5;123,75;129;133,5;141;199,5;NaN;NaN
A108;1;A108_1;171;25,4221500720477;141,75;145,5;151,5;166,5;170,25;178;196,5;207;208,5
A108;2;A108_2;150;33,1714911646576;111,5;114;130,125;132;146,25;153;164,25;183;208,5
B009;1;B009_1;155,64;27,2945049414713;124,5;132;143,25;147;151,5;159;161,5;165;193,5
B009;2;B009_2;139;30,6026426821351;111,5;114;120,75;126;132,5;135;142,5;147;208,5
B010;1;B010_1;161,25;25,3209828781002;131,25;138;153,5;156;163,5;168;172,5;181;193,5
B010;2;B010_2;128,4;25,5147016443461;101,25;105;109,875;118,5;123,75;130,5;133,5;138;154,5
B011;1;B011_1;178,695652173913;30,1608336974969;142,5;151;156,75;160,5;172,5;199,5;208,5;217,5;223,5
B011;2;B011_2;150;31,7366884111173;115,5;121,5;132,75;139,5;145,5;154,5;158,25;162;211,5
B012;1;B012_1;157,32;31,2499599999744;127,5;132;134,5;138;151,5;156;163,5;168;211,5
B012;2;B012_2;129,96;32,0864457364788;98,25;105;110,5;120;124,25;125,5;128,25;135;181,5
B013;1;B013_1;162,24;28,1813768293886;133,5;139,5;142,5;148;154,5;162;169,5;183;202,5
B013;2;B013_2;144,631578947368;32,0558722758939;115,5;123;124,875;129;148,5;162;196,5;NaN;202,5
B014;1;B014_1;181,125;17,7477800203905;157,5;165;173,25;177;180,75;184,5;189,5;192;208,5
B014;2;B014_2;188,913043478261;17,6890131372768;170,25;174;180,5;183;187,5;191;196,5;201;235,5
B014;3;B014_3;190,64;27,4998181812171;157,5;169,5;174,75;178,5;186,75;196,5;210,5;213;232,5
B014;4;B014_4;178,875;20,7559577617776;151,5;162;167,25;171;176,5;180;193,5;201;214,5
B015;1;B015_1;171,75;26,7049091725294;140,5;147;150,75;156;163,5;174;189,75;204;215,25
B015;2;B015_2;153,84;34,3094739102773;123,75;129,6;131,1;133,5;139,5;143;160,5;171;217,5
B016;1;B016_1;158,16;20,7217277271949;131,25;138;149,25;151,2;152,7;156;161,5;171;184,5
B016;2;B016_2;133,772727272727;33,6705775449099;103,5;106;109,5;120;129,75;133,5;157,5;193,5;184,5
B017;1;B017_1;166,2;26,7768556779918;128,25;148,5;152,25;157;159,5;162;166,5;186;199,5
B017;2;B017_2;161,086956521739;14,9024495957064;141,75;151;153,75;157,5;160,5;165;169,5;178,5;185,25
B018;1;B018_1;163,125;23,5193028956143;133,5;142,5;148,5;152;164,25;167;172,5;177;216,75
B018;2;B018_2;157;20,2827834467517;135,75;141;142,875;147;152,5;155;158,25;180;194,25
B019;1;B019_1;150,130434782609;25,8462312143219;121,5;125;133,5;144;146,5;156;161,25;177;214,5
B019;2;B019_2;150,36;28,0800641024909;118,5;129;132,75;135,6;137,1;141;163,5;183;193,5
B020;1;B020_1;171,25;36,4742315233288;133,5;142,5;148,5;155;160,5;168;175,5;189;243,75
B020;2;B020_2;172,04347826087;27,917863718854;137,25;151;156,75;165;168,75;172;175,5;204;233,25
B021;1;B021_1;172,875;25,1072698635276;142,5;153;160,125;162;168,75;172,5;186,75;193,5;229,5
B021;2;B021_2;177,826086956522;24,1145979438201;154,5;156;162,375;164,25;172,5;177;193,5;210;238,5
B021;3;B021_3;190,714285714286;21,1474415879152;167,25;174;184,5;187,5;189,75;195;211,5;228;238,5
B021;4;B021_4;172,647058823529;18,7314614234668;151,5;165;170,5;174;183,75;192;NaN;NaN;238,5
B022;1;B022_1;147,409090909091;25,7952728982677;121,5;124,5;133,5;136,5;144,375;146,25;163,5;195;182,25
B022;2;B022_2;133,8;28,8010416478293;105,5;108;115,125;117;124,5;130,5;136,5;162;182,25
B023;1;B023_1;163,68;20,9835649973973;127,5;147,75;149,625;159;165,5;168;173,5;181,5;188,25
B023;2;B023_2;167,375;29,193228071205;130,5;138;150,75;157,5;161,25;168;184,5;193,5;209,25
B024;1;B024_1;162,391304347826;25,0721488552805;138,5;141;148,5;153;158,25;165;172,5;180;229,5
B024;2;B024_2;167,375;24,307473354291;141,375;143,25;148,5;156;165,75;171;180,75;186;211,5
B025;1;B025_1;149,4;23,9217474278114;127,5;133,5;136,5;139,5;142,125;144;148,5;153;169,5
B025;2;B025_2;141,24;27,7252592413488;109,5;117;123,75;127,5;131,25;141;148,5;160,5;184,5
B026;1;B026_1;184,428571428571;34,3053515192184;142,5;156;162,75;169;190,5;213;226,5;237;NaN
B026;2;B026_2;140,25;20,2974590061235;118,5;121,5;127,5;135;143,25;150;160,5;192;NaN
B027;1;B027_1;164,75;23,6206431455347;141,5;144;147,75;156,75;158,625;162;174,75;183;194,25
B027;2;B027_2;147,125;18,7554339951873;121,5;127,5;136,5;144;145,25;146,5;154,5;166;178,5
B028;1;B028_1;166,285714285714;31,6577681732981;138,75;144;148,5;152;157,5;171;199,5;241,5;NaN
B028;2;B028_2;164,590909090909;37,5647492951889;117,75;123;142,5;153;171,75;192;204,75;210;NaN
B029;1;B029_1;170,4;25,9807621135332;147,5;150;155,25;157,5;159,75;168;175,125;177;199,5
B029;2;B029_2;167,64;18,9602215176933;144,375;146,25;154,5;159;165,75;169,5;173,25;180;194,25
B030;1;B030_1;157,736842105263;30,9405201875095;121,5;135;148,5;153;163,5;177;199,5;NaN;NaN
B030;2;B030_2;162;35,4723232152296;121,5;129;142,5;148,5;165,75;175,5;190,5;216;NaN
B031;1;B031_1;162,875;27,4167712874089;130,5;144;151,5;157,5;161,25;171;173,5;181,5;211,5
B031;2;B031_2;136,92;24,6761017991092;109,5;114;121,5;126;130,5;134;137,25;150;177,75
B032;1;B032_1;159,782608695652;27,602629192523;129,75;138;145,5;150;160,5;165;176,25;189;217,5
B032;2;B032_2;163,25;19,1362392379985;136,5;147;154,5;162;166,125;168;170,5;174;193,5
B033;1;B033_1;155,086956521739;26,2694309788501;126,75;135;139,5;147;151,5;159;169,5;181,5;217,5
B033;2;B033_2;147,125;20,3562029858223;118,875;124,5;133,5;144;148,5;151;154,5;162;187,5
B034;1;B034_1;163,68;33,2161105489489;127,5;137;142,5;147;151,5;159;169,5;201;220,5
B034;2;B034_2;137,875;15,5376471275695;122,25;124,2;125,7;127,5;130,5;135;143,25;157;166,5
B035;1;B035_1;160,826086956522;26,491254429808;130,5;141;145,5;154;157,5;163;166,5;180;223,5
B035;2;B035_2;134,125;25,9503078644718;107,25;111;117,5;120;127,5;132;139,5;165;181,5
B036;1;B036_1;169,32;26,4255558125084;138,75;142,5;150,75;156;166,5;169,5;173,25;192;205,5
B036;2;B036_2;134,125;23,1278347263732;109,5;118,5;121,5;124;127,5;133,5;138,75;142,5;190,5
B037;1;B037_1;168,428571428571;34,9765227382189;136,5;142,5;147,75;153;169,5;180;199,5;231;NaN
B037;2;B037_2;159,136363636364;22,5352537668797;131,25;135;143,25;154,5;163,5;171;174,75;178,5;NaN
B038;1;B038_1;161,142857142857;25,8617201946927;131,25;141;149,25;157,5;162,75;168;173,25;198;NaN
B038;2;B038_2;147,571428571429;30,2035948664582;112,5;123;130,5;135;141,75;153;190,5;198;NaN
B039;1;B039_1;163,8;27,2948809544168;131,25;141;151,5;156;166,5;180;201,75;219;NaN
B039;2;B039_2;138;21,6333076527839;116,25;120,6;122,1;126;130,5;141;160,5;168;NaN
B040;1;B040_1;166,125;22,3243140992058;139,5;144;155,25;159;164,25;171;180,75;186;194,25
B040;2;B040_2;124,2;13,3603892158874;107,25;111;115,5;118,5;120,5;123;128,25;132;140,25
B041;1;B041_1;165;29,9608440120275;128,25;135;140,5;156,75;158,625;171;176,25;196,5;218,25
B041;2;B041_2;168,12;16,419805114556;142,875;147;159,5;162;168,75;170;172,5;177;190,5
B042;1;B042_1;168,130434782609;28,2220164665592;141,5;144;150,75;154,5;161,25;169,5;181,5;207;229,5
B042;2;B042_2;140,045454545455;19,9510765259786;121,5;126,75;128,625;132;136,875;144;149,25;153;229,5
B043;1;B043_1;166,625;28,2255088142993;140,25;147;151,5;154,5;159,75;163,5;167,25;174;238,5
B043;2;B043_2;165;26,3391343821318;133,5;141;146,25;151,5;156,75;165;172,5;187,5;202,5
B044;1;B044_1;171;24,9919987195902;141,75;147;153,75;166;178,5;183;196,5;210;208,5
B044;2;B044_2;165,25;23,4210050651305;141,75;145;147,5;150;158,25;165;175,5;186;208,5
B045;1;B045_1;171;30,9838667696593;141,3;142,8;145,5;150;160,5;169,5;181,5;196,5;226,5
B045;2;B045_2;139,090909090909;27,1905254698153;111,75;115,5;127,5;130,5;141,75;148;154,5;171;226,5
B046;1;B046_1;156,521739130435;20,0360347311297;132,75;138,75;140,625;144;152,25;166,5;170,25;180;193,5
B046;2;B046_2;138,142857142857;30,4684848889565;111,75;117;123,75;127,5;131,25;141;148,5;207;193,5
B047;1;B047_1;179;32,811715829139;136,5;148,5;153,75;162;180,75;190;198,75;213;229,5
B047;2;B047_2;149;35,2383190636952;118,5;123;127,875;132;137,25;144;148,5;159;229,5
B048;1;B048_1;161,347826086957;20,9796626536102;142,5;147,6;149,1;151,5;157,5;163,5;172,5;180;220,5
B048;2;B048_2;142,32;29,9008361087111;109,5;117,75;119,625;126;133,5;141;148,5;159;184,5
B049;1;B049_1;155,875;26,0706606710702;126,75;136;142,5;145,5;147,75;153;168,75;174;208,5
B049;2;B049_2;122,4;20,2175666191557;100,5;105;108,75;115,5;118,5;123;126,75;130,5;137,25
B050;1;B050_1;169,434782608696;22,2829451435123;142,5;153;159,75;165;167,5;169,5;172,5;180;238,5
B050;2;B050_2;143,318181818182;26,6715228262304;107,25;126;129,75;133,5;139,5;147;164,25;180;238,5
B051;1;B051_1;164,368421052632;25,3885593795398;139,5;146;153,375;155,25;165,75;175,5;220,5;NaN;196,5
B051;2;B051_2;150,652173913043;29,0150567427768;119,25;124;127,5;135;142,5;153;184,5;193;196,5
B052;1;B052_1;174,521739130435;39,0382907194013;130,5;141;153,75;157,5;166,5;198;211,5;216;238,5
B052;2;B052_2;151,090909090909;40,2230792443356;115,5;123;125,5;129;133,5;144;196,5;217,5;238,5
B053;1;B053_1;153,125;18,7971147184649;135,375;137,25;140,25;142,5;145,5;153;157,5;169,5;178,5
B053;2;B053_2;134,285714285714;29,5755690683085;101,25;114;121,5;125;128,25;135;157,5;195;178,5
