"","Echantillon","TMG","Ecart.type.TMG","Zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"170","A100",170.28,29.3939419227536,3,11.625,6.75,9,7.875,15.375,6,11.25
"172","A101",166.265217391305,24.300461276865,2,3.125,5.0625,4.6875,12.625,4.625,7.25,6.5
"174","A102",148.849802371542,27.4914079221418,3,9.375,6.5,4,4.125,7.875,5.375,14.125
"176","A103",149.973913043478,29.4955453184191,1,6.75,5.125,6.125,4.3125,3.9375,6.75,12
"178","A105",167.545454545455,29.5614145779096,3,7.875,11.8125,3.9375,5.8125,3.5625,8.25,25.125
"180","A106",177.125,27.7133417679308,2,6.9375,4.875,4.25,7,12.6,19.5,12.4
"182","A107",151.369047619048,23.7423707403882,4,5.25,4.875,5.875,3.3125,4.6875,37.5,35
"184","A108",160.5,29.2968206183527,3,3.125,11.0625,8.4375,9,7.25,14.875,14.625
"186","B009",147.32,28.9485738118032,1,5,9,4.5,5.5,5,5,4
"188","B010",144.825,25.4178422612232,3,5.25,10.1875,5.5625,6.375,5.625,3.75,6.5
"190","B011",164.347826086957,30.9487610543071,2,7.25,8.5,5.25,9,18,6.375,6.375
"192","B012",143.64,31.6682028682266,1,5.625,4,6.5,8.875,2.875,5.125,5.625
"194","B013",162.24,28.1813768293886,3,6,3,5.5,6.5,7.5,7.5,13.5
"195","B015",162.795,30.5071915414034,4,6.175,2.625,3.82500000000001,6.75,7,16.625,12.375
"197","B016",145.966363636363,27.1961526360524,2,4.625,7.375,6.225,5.625,3.525,14.75,22.75
"199","B017",163.64347826087,20.8396526368491,4,14.75,3.25,4.25,2.75,3.5,4.5,14.25
"201","B018",160.0625,21.901043171183,2,7.125,3.9375,3.8125,8.875,2.625,4.375,13.125
"203","B019",150.245217391304,26.9631476584064,4,7,6.125,6.675,2,6.7,13.875,17.625
"205","B020",171.646739130435,32.1960476210914,2,11.375,5.875,7.375,4.625,5.375,5.5,21
