"","Echantillon","TMG","Ecart-type TMG","Zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"68","A046",155.875,24.0891685925077,"3",3.75,2.625,1.875,5.25,3.75,22.5,3.5
"69","A046",156.125,38.9997909693395,"3",7.125,3.75,6.75,9,7.5,33.75,11.25
"70","A047",164.125,35.9834654057762,"1",8.25,5.5,2.5,2.5,7.5,7.5,6
"71","A047",159.72,25.0291829670887,"1",6,2.25,5.25,6.5,2.5,19.875,7.125
"72","A049",151.125,27.6630541556313,"2",6,3.75,6.75,5.5,12.5,7.5,12
"73","A049",159.12,28.4931570732343,"2",7.5,6.5,2.5,7.5,7.5,8.25,9.75
"74","A050",166.909090909091,29.6774872041628,"3",13.5,10.5,3.5,8.5,7.5,7.5,22.5
"75","A050",164.285714285714,24.7732574707947,"3",10.5,3.5,2.5,13.5,7.5,21.75,5.25
"76","A051",179.347826086957,34.1688437238213,"2",9.75,4.5,7.5,4.5,10.5,34.5,16.5
"77","A051",172.875,26.8008963185611,"2",14.25,8.25,2.25,2.25,6.75,12,15
"78","A052",173.7,24.5637730686558,"4",12,5.25,11.25,9.75,12.75,8.25,20.25
"79","A052",146.086956521739,24.2279197386334,"4",6,6.75,2.75,2.125,1.875,19.5,21
"80","A053",173.318181818182,25.6057775542131,"3",13.5,6.75,5.25,6.75,3.75,6,19.5
"81","A053",147,26.8175654782797,"3",3.75,4.875,8.625,9,3.5,3.25,30.75
"82","A054",162.260869565217,25.2122217680674,"3",12,3.75,3.75,4.875,4.125,12.75,8.25
"83","A054",163.125,16.7106123531542,"3",3.75,10.125,1.875,4.5,4.5,5.25,9.75
"84","A055",167.045454545455,29.2826574267778,"4",7.5,7.5,3.5,17.5,6,17.25,5.25
"85","A055",143.571428571429,30.7157474735215,"4",7.5,8.5,9.5,4.125,1.875,13.5,46.5
"86","A056",158.347826086957,22.0446008554809,"2",7.5,2.5,7.5,2.5,2.5,5.25,5.25
"87","A056",143.347826086957,24.6882539160412,"2",3.5,3.25,2.75,3.25,9.75,4.5,7.5
"88","A057",180.714285714286,33.9398627827851,"1",2.5,16.5,19.5,13.5,13.5,16.5,7.5
"89","A057",151.5,42.7479976647775,"1",8.25,7.5,5.5,3.5,7.5,13.5,52.5
"90","A058",157.68,19.7119253245338,"4",3.75,3.30000000000001,1.5,1.57499999999999,1.875,5.25,4.5
"91","A058",128.4,17.599715906798,"4",9.5,4.375,1.875,5.25,4.5,6.75,11.25
"92","A059",152.454545454545,29.5630517026579,"2",3.5,8.5,3.5,11.5,16.5,16.5,16.5
"93","A059",134.64,25.9275914808916,"2",3.5,5.5,4.5,7.5,6,14.25,5.25
"94","A060",148.8,19.4615004560286,"3",5.25,5.25,5.25,6.30000000000001,1.5,2.69999999999999,4.5
"95","A060",134.16,29.8938120687208,"3",3.75,5.25,3.75,2.5,3.5,8.25,6.75
"96","A061",155,22.4441335416358,"2",3.75,3.75,6.75,2.5,18.5,4.5,4.5
"97","A061",133.304347826087,18.7748254624709,"2",2.5,1.25,3.75,2.5,6.5,6.375,1.875
"98","A062",160.695652173913,26.1350248840842,"4",10.5,6.75,5.25,6.5,2.5,7.5,7.5
"99","A062",154.08,24.8124968513852,"4",9,6,2.69999999999999,1.5,2.30000000000001,6.25,9.75
"100","A063",167.125,27.9818458228219,"2",7.5,2.5,7.5,6.5,7.5,5.25,12.75
"101","A063",165.48,30.3934203405935,"2",2.5,7.5,4.5,12.75,5.25,11.25,12.75
